,Stock 1,Stock 2,Stock 3,Stock 4,Strange Stock 5
0,50.0,50.0,50.0,50.0,50.0
1,50.00331889514281,49.99891154077482,50.01241310477492,49.99428352025052,50.00085969311945
2,50.01226370139036,49.99607565377891,50.03072444489474,49.989102741568566,49.98815468914432
3,50.02708505860688,50.00564615801028,50.02921855874448,49.986876653894136,49.99898586297999
4,50.03411656529732,50.00769520161891,50.03651094476454,49.9775791350358,50.00433691886039
5,50.04048833016145,50.00513491965295,50.05027024203351,49.97632391661363,50.00925955827011
6,50.04072652465777,50.00968710720636,50.04732262434612,49.97422010243151,50.01248784162782
7,50.03467513054365,49.99395286653809,50.05528788940356,49.97115998368239,50.02090644146139
8,50.03153891661336,49.99243082818354,50.04454095628253,49.97440933886412,50.0249653145898
9,50.03019162985118,49.98785243827317,50.04642003529387,49.96500359964653,50.01735069147575
10,50.03166484518713,49.99060236405463,50.05893897892568,49.968732734554656,50.011574661670814
11,50.04062529058803,49.99153622714973,50.06836215200705,49.97165656219035,50.01091512142092
12,50.03647462103535,49.98514190378607,50.0611169901092,49.95644805277309,50.00672448974173
13,50.04913149532218,49.993960333386056,50.07098635592918,49.9566539508573,50.01576615294117
14,50.0462723835569,49.995803898084446,50.076116348469306,49.95805979476892,49.99647791485678
15,50.057405033214025,49.99951773072104,50.08640150719389,49.95443115147685,50.016207338936574
16,50.07803015728345,50.01326214616086,50.1073507836915,49.955837017350106,50.02007958670201
17,50.08716228546957,50.02615691439752,50.12019084537999,49.95722586010557,50.01667010275744
18,50.09499643895838,50.02481000239849,50.12886869976172,49.9598006449277,50.01399205120726
19,50.08715681845222,50.013333045164174,50.12306233194705,49.95412008609874,50.02814953476753
20,50.09176695538998,50.012293559996856,50.13205587026763,49.94023535482052,50.02186214384575
21,50.08743126474006,50.01168635129433,50.12242613948506,49.940397754920745,50.02702402865175
22,50.09112766962566,50.00427926304911,50.124814660624416,49.92587062379655,50.04115488417193
23,50.09208015554758,50.00605064531151,50.119342067281046,49.91842784417386,50.03438535345363
24,50.09569412971348,50.01123543397682,50.12517336193439,49.924659259804336,50.02032205903431
25,50.09864432566852,50.022182504227246,50.1291866115077,49.93244453656303,50.00829139996438
26,50.10724051792903,50.03979767818559,50.13512992238362,49.95141610271323,50.006516443542715
